mission_time,metres
22.61,7838.994
22.68,7855.456
22.75,7928.656
22.82,7977.169
22.89,7939.744
22.96,7896.54
23.03,7905.885
23.1,7911.625
23.17,7925.46
23.24,7988.965
23.31,8045.817
23.38,8023.375
23.45,7972.883
23.52,7977.169
23.59,7981.241
23.66,7989.394
23.73,8029.627
23.8,8103.709
23.87,8114.594
23.94,8065.071
24.01,8042.793
24.08,8052.302
24.15,8055.547
24.22,8069.186
24.29,8126.148
24.36,8183.279
24.43,8174.059
24.5,8125.276
24.57,8117.209
24.64,8122.658
24.71,8125.712
24.78,8140.995
24.85,8199.547
24.92,8256.735
24.99,8250.091
25.06,8199.767
25.13,8184.816
25.2,8191.189
25.27,8194.707
25.34,8203.729
25.41,8245.885
25.48,8312.752
25.55,8327.932
25.62,8290.478
25.69,8253.412
25.76,8258.286
25.83,8261.61
25.9,8264.714
25.97,8280.03
26.04,8335.532
26.11,8387.801
26.18,8388.926
26.25,8348.961
26.32,8320.115
26.39,8326.592
26.46,8329.272
26.53,8331.507
26.6,8346.273
26.67,8398.158
26.74,8453.992
26.81,8463.978
26.88,8427.95
26.95,8390.051
27.02,8391.852
27.09,8394.555
27.16,8393.879
27.23,8401.087
27.3,8430.438
27.37,8494.915
27.44,8535.58
27.51,8526.425
27.65,8451.951
27.72,8456.261
27.79,8457.396
27.86,8456.715
27.93,8464.658
28.0,8489.903
28.07,8554.149
28.14,8598.562
28.21,8597.87
28.28,8559.659
28.35,8520.25
28.42,8516.822
28.49,8519.337
28.56,8517.736
28.63,8520.25
28.7,8532.146
28.77,8573.681
28.84,8631.852
28.91,8662.947
28.98,8651.331
29.05,8610.799
29.12,8576.901
29.19,8575.062
29.26,8576.901
29.33,8574.141
29.4,8574.831
29.47,8582.657
29.54,8611.03
29.61,8666.203
29.68,8710.51
29.75,8721.74
29.82,8696.96
29.89,8656.208
29.96,8630.693
30.03,8631.389
30.1,8630.693
30.17,8627.451
30.24,8627.915
30.31,8636.254
30.38,8662.716
30.45,8718.229
30.52,8767.047
30.59,8786.37
30.66,8767.753
30.73,8725.955
30.8,8687.861
30.87,8680.636
30.94,8681.335
31.01,8677.841
31.08,8673.882
31.15,8675.278
31.22,8685.996
31.29,8716.825
31.36,8772.697
31.43,8817.568
31.5,8835.822
31.57,8818.989
31.64,8782.124
31.71,8742.133
31.78,8724.081
31.85,8724.315
31.92,8722.208
31.99,8716.592
32.06,8713.783
32.13,8717.526
32.2,8731.11
32.27,8768.93
32.34,8820.885
32.41,8863.633
32.48,8876.738
32.55,8861.014
32.62,8822.543
32.69,8782.596
32.76,8762.575
32.83,8759.987
32.9,8757.166
32.97,8751.291
33.04,8747.062
33.11,8745.889
33.18,8753.405
33.25,8773.168
33.32,8811.888
33.39,8855.303
33.46,8884.85
33.53,8892.729
33.6,8875.308
33.67,8841.52
33.74,8808.103
33.81,8788.257
33.88,8785.19
33.95,8782.596
34.02,8775.996
34.09,8771.049
34.16,8767.753
34.23,8770.578
34.3,8782.596
34.37,8808.339
34.44,8847.933
34.51,8880.793
34.58,8900.618
34.65,8897.271
34.72,8877.215
34.79,8846.982
34.86,8818.043
34.93,8802.428
35.0,8797.701
35.07,8794.396
35.14,8789.201
35.21,8781.652
35.28,8779.531
35.35,8780.709
35.42,8788.493
35.49,8808.575
35.56,8838.907
35.63,8889.147
35.7,8917.854
35.77,8919.771
35.84,8911.386
35.91,8890.341
35.98,8863.156
36.05,8837.009
36.12,8818.279
36.19,8809.521
36.26,8809.995
36.33,8809.521
36.4,8808.339
36.47,8807.156
36.54,8800.301
36.61,8788.729
36.68,8786.134
36.75,8787.078
36.82,8781.652
36.89,8773.64
36.96,8772.934
37.03,8771.049
37.1,8768.224
37.17,8776.467
37.24,8774.582
37.31,8788.021
37.38,8779.767
37.45,8766.575
37.52,8777.645
37.59,8775.524
37.66,8773.876
37.73,8778.352
37.8,8787.078
37.87,8801.482
37.94,8817.568
38.01,8834.873
38.08,8820.41
38.15,8812.36
38.22,8836.059
38.29,8859.109
38.36,8868.872
38.43,8846.032
38.5,8802.191
38.57,8771.991
38.64,8765.399
38.71,8764.223
38.78,8759.987
38.85,8758.106
38.92,8749.411
38.99,8750.586
39.06,8744.245
39.13,8737.44
39.2,8736.269
39.27,8734.861
39.34,8732.985
39.41,8731.344
39.48,8729.704
39.55,8729.235
39.62,8727.596
39.69,8727.126
39.76,8727.126
39.83,8724.315
39.9,8722.677
39.97,8721.974
40.04,8724.784
40.11,8721.506
40.18,8719.867
40.25,8718.463
40.32,8716.825
40.39,8717.293
40.46,8721.038
40.53,8726.189
40.6,8730.876
40.67,8742.837
40.74,8761.164
40.81,8784.246
40.88,8794.867
40.95,8790.145
41.02,8777.881
41.09,8761.87
41.16,8747.768
41.23,8740.49
41.3,8729.235
41.37,8716.825
41.44,8708.172
41.51,8698.127
41.58,8689.494
41.65,8683.665
41.72,8680.636
41.79,8679.005
41.86,8678.771
41.93,8675.745
42.0,8675.046
42.07,8672.252
42.14,8670.391
42.21,8668.53
42.28,8666.203
42.35,8664.809
42.42,8662.483
42.49,8659.461
42.56,8656.44
42.63,8654.35
42.7,8653.653
42.77,8652.725
42.84,8650.171
42.91,8647.617
42.98,8646.689
43.05,8646.457
43.12,8646.689
43.19,8645.761
43.26,8641.354
43.33,8637.181
43.4,8632.778
43.47,8629.999
43.54,8631.619
43.61,8633.01
43.68,8633.705
43.75,8632.546
43.82,8627.915
43.89,8627.684
43.96,8632.314
44.03,8645.065
44.1,8657.834
44.17,8669.692
44.24,8675.046
44.31,8666.669
44.38,8640.426
44.45,8615.19
44.52,8607.334
44.59,8604.794
44.66,8602.946
44.73,8602.023
44.8,8602.716
44.87,8606.18
44.94,8617.271
45.01,8621.666
45.08,8629.072
45.15,8637.412
45.22,8643.673
45.29,8648.546
45.36,8632.083
45.43,8648.546
45.5,8641.817
45.57,8614.266
45.64,8579.894
45.71,8571.15
45.78,8573.221
45.85,8577.592
45.92,8580.585
45.99,8581.506
46.06,8590.26
46.13,8610.105
46.2,8640.426
46.34,8653.189
46.41,8632.778
46.48,8598.331
46.55,8560.809
46.62,8550.479
46.69,8549.102
46.76,8549.102
46.83,8549.561
46.9,8554.149
46.97,8577.132
47.04,8599.946
47.11,8614.497
47.18,8624.211
47.25,8627.22
47.32,8628.146
47.39,8627.915
47.46,8623.054
47.53,8607.103
47.6,8590.26
47.67,8582.657
47.74,8579.894
47.81,8573.221
47.88,8541.994
47.95,8522.536
48.02,8516.594
48.09,8511.341
48.16,8509.285
48.23,8508.144
48.3,8508.601
48.37,8507.003
48.44,8505.634
48.51,8504.721
48.58,8503.352
48.65,8500.615
48.72,8500.387
48.79,8499.019
48.86,8499.019
48.93,8496.283
49.0,8494.915
49.07,8492.864
49.14,8498.334
49.21,8512.711
49.28,8526.196
49.35,8536.038
49.42,8539.016
49.49,8538.328
49.56,8538.099
49.63,8536.038
49.7,8534.893
49.77,8528.941
49.84,8505.405
49.91,8474.429
49.98,8461.707
50.05,8457.849
50.12,8457.396
50.19,8456.715
50.26,8456.034
50.33,8455.126
50.4,8453.766
50.47,8451.951
50.54,8451.498
50.61,8451.498
50.68,8448.777
50.75,8446.964
50.82,8445.379
50.89,8447.871
50.96,8450.138
51.03,8461.253
51.1,8489.22
